gvkey,iid,datadate,tic,prccd,,,
1161,1,20160104,AMD,2.77,,,38.87836125
1161,1,20160105,AMD,2.75,,,
1161,1,20160106,AMD,2.505,,,
1161,1,20160107,AMD,2.275,,,
1161,1,20160108,AMD,2.14,,,
1161,1,20160111,AMD,2.34,,,
1161,1,20160112,AMD,2.39,,,
1161,1,20160113,AMD,2.25,,,
1161,1,20160114,AMD,2.21,,,
1161,1,20160115,AMD,2.03,,,
1161,1,20160119,AMD,1.95,,,
1161,1,20160120,AMD,1.8,,,
1161,1,20160121,AMD,2.09,,,
1161,1,20160122,AMD,2.02,,,
1161,1,20160125,AMD,2.12,,,
1161,1,20160126,AMD,2.07,,,
1161,1,20160127,AMD,2.13,,,
1161,1,20160128,AMD,2.08,,,
1161,1,20160129,AMD,2.2,,,
1161,1,20160201,AMD,2.14,,,
1161,1,20160202,AMD,1.99,,,
1161,1,20160203,AMD,2.07,,,
1161,1,20160204,AMD,2.09,,,
1161,1,20160205,AMD,1.98,,,
1161,1,20160208,AMD,1.93,,,
1161,1,20160209,AMD,1.9,,,
1161,1,20160210,AMD,1.84,,,
1161,1,20160211,AMD,1.86,,,
1161,1,20160212,AMD,1.83,,,
1161,1,20160216,AMD,1.83,,,
1161,1,20160217,AMD,1.9,,,
1161,1,20160218,AMD,1.91,,,
1161,1,20160219,AMD,1.91,,,
1161,1,20160222,AMD,2.01,,,
1161,1,20160223,AMD,1.97,,,
1161,1,20160224,AMD,2.02,,,
1161,1,20160225,AMD,2.03,,,
1161,1,20160226,AMD,2.07,,,
1161,1,20160229,AMD,2.14,,,
1161,1,20160301,AMD,2.18,,,
1161,1,20160302,AMD,2.32,,,
1161,1,20160303,AMD,2.46,,,
1161,1,20160304,AMD,2.37,,,
1161,1,20160307,AMD,2.47,,,
1161,1,20160308,AMD,2.3,,,
1161,1,20160309,AMD,2.26,,,
1161,1,20160310,AMD,2.26,,,
1161,1,20160311,AMD,2.52,,,
1161,1,20160314,AMD,2.72,,,
1161,1,20160315,AMD,2.49,,,
1161,1,20160316,AMD,2.63,,,
1161,1,20160317,AMD,2.8,,,
1161,1,20160318,AMD,2.93,,,
1161,1,20160321,AMD,2.8,,,
1161,1,20160322,AMD,2.79,,,
1161,1,20160323,AMD,2.68,,,
1161,1,20160324,AMD,2.79,,,
1161,1,20160328,AMD,2.78,,,
1161,1,20160329,AMD,2.86,,,
1161,1,20160330,AMD,2.86,,,
1161,1,20160331,AMD,2.85,,,
1161,1,20160401,AMD,2.83,,,
1161,1,20160404,AMD,2.83,,,
1161,1,20160405,AMD,2.76,,,
1161,1,20160406,AMD,2.8,,,
1161,1,20160407,AMD,2.64,,,
1161,1,20160408,AMD,2.74,,,
1161,1,20160411,AMD,2.76,,,
1161,1,20160412,AMD,2.81,,,
1161,1,20160413,AMD,2.8,,,
1161,1,20160414,AMD,2.72,,,
1161,1,20160415,AMD,2.7,,,
1161,1,20160418,AMD,2.76,,,
1161,1,20160419,AMD,2.62,,,
1161,1,20160420,AMD,2.7,,,
1161,1,20160421,AMD,2.62,,,
1161,1,20160422,AMD,3.99,,,
1161,1,20160425,AMD,3.45,,,
1161,1,20160426,AMD,3.66,,,
1161,1,20160427,AMD,3.73,,,
1161,1,20160428,AMD,3.61,,,
1161,1,20160429,AMD,3.55,,,
1161,1,20160502,AMD,3.74,,,
1161,1,20160503,AMD,3.6,,,
1161,1,20160504,AMD,3.6,,,
1161,1,20160505,AMD,3.66,,,
1161,1,20160506,AMD,3.68,,,
1161,1,20160509,AMD,3.65,,,
1161,1,20160510,AMD,3.64,,,
1161,1,20160511,AMD,3.65,,,
1161,1,20160512,AMD,3.59,,,
1161,1,20160513,AMD,3.67,,,
1161,1,20160516,AMD,3.79,,,
1161,1,20160517,AMD,3.79,,,
1161,1,20160518,AMD,3.84,,,
1161,1,20160519,AMD,3.77,,,
1161,1,20160520,AMD,3.87,,,
1161,1,20160523,AMD,4.04,,,
1161,1,20160524,AMD,4.2,,,
1161,1,20160525,AMD,4.18,,,
1161,1,20160526,AMD,4.35,,,
1161,1,20160527,AMD,4.6,,,
1161,1,20160531,AMD,4.57,,,
1161,1,20160601,AMD,4.43,,,
1161,1,20160602,AMD,4.24,,,
1161,1,20160603,AMD,4.16,,,
1161,1,20160606,AMD,4.47,,,
1161,1,20160607,AMD,4.51,,,
1161,1,20160608,AMD,4.46,,,
1161,1,20160609,AMD,4.52,,,
1161,1,20160610,AMD,4.32,,,
1161,1,20160613,AMD,4.4,,,
1161,1,20160614,AMD,4.39,,,
1161,1,20160615,AMD,4.42,,,
1161,1,20160616,AMD,4.75,,,
1161,1,20160617,AMD,5.26,,,
1161,1,20160620,AMD,5.1,,,
1161,1,20160621,AMD,5.45,,,
1161,1,20160622,AMD,5.02,,,
1161,1,20160623,AMD,5.21,,,
1161,1,20160624,AMD,4.88,,,
1161,1,20160627,AMD,4.72,,,
1161,1,20160628,AMD,5.12,,,
1161,1,20160629,AMD,5.13,,,
1161,1,20160630,AMD,5.14,,,
1161,1,20160701,AMD,5.07,,,
1161,1,20160705,AMD,4.96,,,
1161,1,20160706,AMD,5.04,,,
1161,1,20160707,AMD,5.02,,,
1161,1,20160708,AMD,5.1,,,
1161,1,20160711,AMD,5.01,,,
1161,1,20160712,AMD,5.14,,,
1161,1,20160713,AMD,5.09,,,
1161,1,20160714,AMD,5.17,,,
1161,1,20160715,AMD,5.14,,,
1161,1,20160718,AMD,5.51,,,
1161,1,20160719,AMD,5.41,,,
1161,1,20160720,AMD,5.41,,,
1161,1,20160721,AMD,5.22,,,
1161,1,20160722,AMD,5.84,,,
1161,1,20160725,AMD,6.7,,,
1161,1,20160726,AMD,6.98,,,
1161,1,20160727,AMD,6.85,,,
1161,1,20160728,AMD,6.82,,,
1161,1,20160729,AMD,6.86,,,
1161,1,20160801,AMD,6.64,,,
1161,1,20160802,AMD,6.26,,,
1161,1,20160803,AMD,6.3,,,
1161,1,20160804,AMD,6.47,,,
1161,1,20160805,AMD,6.61,,,
