,Daily Price
0,214.46
1,226.77
2,233.18
3,236.85
4,242.2
5,242.71
6,236.28
7,236.68
8,230.12
9,229.4
10,230.62
11,239.35
12,235.49
13,243.69
14,246.14
15,242.33
16,236.87
17,241.41
18,246.37
19,241.09
20,248.31
21,241.0
22,234.49
23,235.55
24,238.8
25,241.01
26,234.72
27,237.26
28,238.51
29,233.98
30,231.19
31,231.05
32,239.15
33,241.48
34,233.47
35,233.17
36,239.59
37,230.09
38,233.44
39,227.72
40,231.51
41,226.48
42,216.86
43,214.13
44,213.5
45,219.41
46,218.86
47,221.58
48,230.54
49,227.25
50,218.93
51,210.2
52,221.19
53,227.56
54,231.56
55,230.99
56,232.99
57,226.62
58,226.46
59,220.94
60,225.41
61,215.64
62,217.13
63,213.55
64,215.26
65,210.41
66,211.6
67,208.2
68,211.6
69,205.87
70,208.05
71,208.77
72,207.22
73,209.56
74,201.96
75,203.36
76,202.56
77,203.0
78,203.99
79,216.76
80,223.98
81,223.58
82,225.9
83,213.2
84,241.57
85,234.39
86,232.15
87,232.84
88,237.17
89,233.66
90,227.31
91,231.41
92,231.38
93,226.96
94,231.12
95,225.4
96,226.48
97,228.82
98,223.63
99,225.76
100,225.75
101,227.69
102,234.55
103,234.23
104,227.99
105,215.67
106,221.73
107,232.14
108,233.74
109,227.9
110,216.77
111,219.65
112,224.38
113,222.31
114,220.51
115,221.59
116,221.85
117,213.12
118,218.73
119,210.24
120,213.24
121,210.96
122,212.22
123,223.68
124,217.41
125,207.55
126,213.49
127,225.75
128,227.09
129,227.54
130,223.78
131,221.2
132,232.97
133,221.12
134,218.76
135,220.75
136,228.52
137,225.35
138,222.46
139,238.66
140,238.73
141,242.77
142,237.51
143,229.98
144,232.77
145,232.92
146,236.45
147,206.37
148,203.89
149,205.04
150,203.69
151,197.89
152,200.61
153,194.7
154,196.7
155,193.29
156,200.3
157,194.93
158,193.12
159,200.82
160,201.34
161,213.43
162,205.79
163,208.72
164,211.15
165,210.3
166,209.66
167,209.6
168,199.7
169,203.29
170,216.56
171,207.59
172,209.4
173,214.02
174,218.7
175,221.3
176,225.43
177,221.1
178,225.38
179,221.2
180,216.9
181,222.29
182,222.15
183,221.69
184,219.62
185,213.24
186,225.12
187,230.11
188,228.81
189,258.64
190,252.55
191,251.6
192,254.64
193,250.12
194,247.2
195,254.94
196,267.91
197,267.53
198,254.77
199,254.29
200,261.11
201,265.77
202,265.2
203,266.9
204,265.45
205,277.82
206,276.55
207,274.32
208,280.57
209,280.91
210,235.57
211,234.68
212,233.11
213,231.61
214,236.31
215,237.75
216,237.51
217,233.82
218,241.04
219,248.32
220,253.45
221,253.85
222,248.69
223,250.06
224,252.49
225,236.78
226,255.93
227,257.99
228,255.77
229,261.28
230,260.35
231,294.93
232,291.59
233,289.9
234,278.07
235,268.42
236,271.77
237,275.26
238,279.82
239,281.81
240,270.95
241,272.29
242,276.65
243,272.46
244,269.22
245,275.8
246,278.79
247,282.36
248,279.98
249,276.05
250,270.83
251,281.31
