,Daily Price
0,287.38
1,278.06
2,284.55
3,287.02
4,285.83
5,284.24
6,278.24
7,275.92
8,277.25
9,274.35
10,276.8
11,283.55
12,290.29
13,287.1
14,280.3
15,278.26
16,286.99
17,289.05
18,290.39
19,284.97
20,286.27
21,291.23
22,303.68
23,295.54
24,294.49
25,297.29
26,300.18
27,299.1
28,295.47
29,288.2
30,273.92
31,278.75
32,271.46
33,271.52
34,275.47
35,281.84
36,280.04
37,281.34
38,279.26
39,283.58
40,281.46
41,285.29
42,249.41
43,251.07
44,253.98
45,246.53
46,249.72
47,252.8
48,248.61
49,251.14
50,251.6
51,255.93
52,264.45
53,259.18
54,265.47
55,252.72
56,252.04
57,251.13
58,247.83
59,248.95
60,248.48
61,248.21
62,248.96
63,248.12
64,248.11
65,240.07
66,238.15
67,235.96
68,234.95
69,233.0
70,229.71
71,233.29
72,234.41
73,237.49
74,246.38
75,234.14
76,236.75
77,238.24
78,240.5
79,234.59
80,235.14
81,237.25
82,231.65
83,227.84
84,252.6
85,250.96
86,263.64
87,251.01
88,249.59
89,253.06
90,249.01
91,250.69
92,245.75
93,245.03
94,250.58
95,250.93
96,247.95
97,250.25
98,245.77
99,252.9
100,247.99
101,247.09
102,249.23
103,255.12
104,252.46
105,243.53
106,248.44
107,260.07
108,250.01
109,255.57
110,255.43
111,249.86
112,252.02
113,247.59
114,246.99
115,250.47
116,250.01
117,244.36
118,249.09
119,245.2
120,239.0
121,244.36
122,243.93
123,242.29
124,240.74
125,242.59
126,221.16
127,222.19
128,218.94
129,213.48
130,211.02
131,211.05
132,216.03
133,219.53
134,212.34
135,218.93
136,222.55
137,219.91
138,224.26
139,232.5
140,230.48
141,228.73
142,231.23
143,229.65
144,233.83
145,225.74
146,222.72
147,246.99
148,247.01
149,243.76
150,263.69
151,258.54
152,253.06
153,250.71
154,244.2
155,253.77
156,262.09
157,265.12
158,263.93
159,268.75
160,256.2
161,258.07
162,251.19
163,251.04
164,252.99
165,252.17
166,254.29
167,258.71
168,231.13
169,238.16
170,241.71
171,236.38
172,241.49
173,242.8
174,247.44
175,246.4
176,237.78
177,246.93
178,243.57
179,245.15
180,252.05
181,248.61
182,245.87
183,237.77
184,237.35
185,237.71
186,238.59
187,237.61
188,241.73
189,234.09
190,227.16
191,230.56
192,242.23
193,238.39
194,244.66
195,249.32
196,251.86
197,241.5
198,241.82
199,245.04
200,237.98
201,243.51
202,245.59
203,245.5
204,247.98
205,252.33
206,255.73
207,247.34
208,254.75
209,262.2
210,289.95
211,296.39
212,307.24
213,305.51
214,312.77
215,308.24
216,299.82
217,307.85
218,307.25
219,296.02
220,292.5
221,290.28
222,286.58
223,293.67
224,290.5
225,290.04
226,294.01
227,295.43
228,295.64
229,293.48
230,292.28
231,290.45
232,295.94
233,301.73
234,293.61
235,294.01
236,294.04
237,288.91
238,289.74
239,290.52
240,296.35
241,303.05
242,294.54
243,296.83
244,296.14
245,294.2
246,291.26
247,295.9
248,307.45
249,301.0
250,292.67
251,296.24
